number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i3-1215UL,12,i3,Launched,6,1.20 GHz,1.20 GHz,15.0,yes,10,2022
i3-12300HL,12,i3,Launched,8,2.00 GHz,2.00 GHz,45.0,yes,12,2022
i3-1215UE,12,i3,Launched,6,3.30 GHz,3.30 GHz,15.0,yes,10,2022
i3-1220PE,12,i3,Launched,8,3.10 GHz,3.10 GHz,28.0,yes,12,2022
i3-1220P,12,i3,Launched,10,3.30 GHz,3.30 GHz,28.0,yes,12,2022
i3-1210U,12,i3,Launched,6,3.30 GHz,3.30 GHz,9.0,yes,10,2022
i3-1215U,12,i3,Launched,6,3.30 GHz,3.30 GHz,15.0,yes,10,2022
i3-1215U,12,i3,Launched,6,3.30 GHz,3.30 GHz,15.0,yes,10,2022
i3-12100T,12,i3,Launched,4,2.20 GHz,2.20 GHz,35.0,yes,12,2022
i3-12300T,12,i3,Launched,4,2.30 GHz,2.30 GHz,35.0,yes,12,2022
i3-12300,12,i3,Launched,4,3.50 GHz,3.50 GHz,60.0,yes,12,2022
i3-12100,12,i3,Launched,4,3.30 GHz,3.30 GHz,60.0,yes,12,2022
i3-12100F,12,i3,Launched,4,3.30 GHz,3.30 GHz,58.0,yes,12,2022
i3-12100TE,12,i3,Launched,4,2.10 GHz,2.10 GHz,35.0,yes,12,2022
i3-12100E,12,i3,Launched,4,3.20 GHz,3.20 GHz,60.0,yes,12,2022
i3-12300HE,12,i3,Launched,8,1.90 GHz,1.90 GHz,45.0,yes,12,2022
i3-11100HE,11,i3,Launched,4,2.40 GHz,2.40 GHz,45.0,yes,8,2021
i3-1115GRE,11,i3,Launched,2,2.20 GHz,2.20 GHz,15.0,yes,6,2020
i3-1115G4E,11,i3,Launched,2,2.20 GHz,2.20 GHz,15.0,yes,6,2020
i3-1125G4,11,i3,Launched,4,2.00 GHz,2.00 GHz,28.0,yes,8,2021
i3-1125G4,11,i3,Launched,4,2.00 GHz,2.00 GHz,28.0,yes,8,2021
i3-1120G4,11,i3,Launched,4,1.50 GHz,1.50 GHz,15.0,yes,8,2021
i3-1110G4,11,i3,Launched,2,2.50 GHz,2.50 GHz,15.0,yes,6,2020
i3-1115G4,11,i3,Launched,2,3.00 GHz,3.00 GHz,28.0,yes,6,2020
i3-1115G4,11,i3,Launched,2,3.00 GHz,3.00 GHz,28.0,yes,6,2020
i3-10305,10,i3,Launched,4,3.80 GHz,3.80 GHz,65.0,yes,8,2021
i3-10105F,10,i3,Launched,4,3.70 GHz,3.70 GHz,65.0,yes,6,2021
i3-10305T,10,i3,Launched,4,3.00 GHz,3.00 GHz,35.0,yes,8,2021
i3-10105,10,i3,Launched,4,3.70 GHz,3.70 GHz,65.0,yes,6,2021
i3-10105T,10,i3,Launched,4,3.00 GHz,3.00 GHz,35.0,yes,6,2021
i3-10325,10,i3,Launched,4,3.90 GHz,3.90 GHz,65.0,yes,8,2021
i3-10100Y,10,i3,Launched,2,1.30 GHz,1.30 GHz,5.0,yes,4,2021
i3-10100F,10,i3,Launched,4,3.60 GHz,3.60 GHz,65.0,yes,6,2020
i3-10100E,10,i3,Launched,4,3.20 GHz,3.20 GHz,65.0,yes,6,2020
i3-10100TE,10,i3,Launched,4,2.30 GHz,2.30 GHz,35.0,yes,6,2020
i3-10100T,10,i3,Launched,4,3.00 GHz,3.00 GHz,35.0,yes,6,2020
i3-10100,10,i3,Launched,4,3.60 GHz,3.60 GHz,65.0,yes,6,2020
i3-10300T,10,i3,Launched,4,3.00 GHz,3.00 GHz,35.0,yes,8,2020
i3-10300,10,i3,Launched,4,3.70 GHz,3.70 GHz,65.0,yes,8,2020
i3-10320,10,i3,Launched,4,3.80 GHz,3.80 GHz,65.0,yes,8,2020
i3-10110Y,10,i3,Launched,2,1.00 GHz,1.00 GHz,7.0,yes,4,2019
i3-10110U,10,i3,Launched,2,2.10 GHz,2.10 GHz,15.0,yes,4,2019
i3-1005G1,10,i3,Launched,2,1.20 GHz,1.20 GHz,15.0,yes,4,2019
i3-1000G1,10,i3,Launched,2,1.10 GHz,1.10 GHz,9.0,yes,4,2019
i3-1000G4,10,i3,Launched,2,1.10 GHz,1.10 GHz,9.0,yes,4,2019
i3-9100TE,9,i3,Launched,4,2.20 GHz,2.20 GHz,35.0,no,6,2019
i3-9100HL,9,i3,Launched,4,1.60 GHz,1.60 GHz,25.0,no,6,2019
i3-9100E,9,i3,Launched,4,3.10 GHz,3.10 GHz,65.0,no,6,2019
i3-9350K,9,i3,Launched,4,4.00 GHz,4.00 GHz,91.0,yes,8,2019
i3-9320,9,i3,Launched,4,3.70 GHz,3.70 GHz,62.0,yes,8,2019
i3-9100F,9,i3,Launched,4,3.60 GHz,3.60 GHz,65.0,yes,6,2019
i3-9300,9,i3,Launched,4,3.70 GHz,3.70 GHz,62.0,yes,8,2019
i3-9300T,9,i3,Launched,4,3.20 GHz,3.20 GHz,35.0,yes,8,2019
i3-9100T,9,i3,Launched,4,3.10 GHz,3.10 GHz,35.0,yes,6,2019
i3-9100,9,i3,Launched,4,3.60 GHz,3.60 GHz,65.0,yes,6,2019
i3-9350KF,9,i3,Launched,4,4.00 GHz,4.00 GHz,91.0,yes,8,2019
i3-8140U,8,i3,Discontinued,2,2.10 GHz,2.10 GHz,15.0,yes,4,2019
i3-8145UE,8,i3,Launched,2,2.20 GHz,2.20 GHz,15.0,yes,4,2019
i3-8100B,8,i3,Discontinued,4,3.60 GHz,3.60 GHz,65.0,yes,6,2018
i3-8145U,8,i3,Discontinued,2,2.10 GHz,2.10 GHz,15.0,yes,4,2018
i3-8100H,8,i3,Launched,4,3.00 GHz,3.00 GHz,45.0,yes,6,2018
i3-8100T,8,i3,Launched,4,3.10 GHz,3.10 GHz,35.0,yes,6,2018
i3-8300T,8,i3,Discontinued,4,3.20 GHz,3.20 GHz,35.0,yes,8,2018
i3-8300,8,i3,Discontinued,4,3.70 GHz,3.70 GHz,62.0,yes,8,2018
i3-8109U,8,i3,Discontinued,2,3.00 GHz,3.00 GHz,28.0,yes,4,2018
i3-8130U,8,i3,Discontinued,2,2.20 GHz,2.20 GHz,15.0,yes,4,2018
i3-8350K,8,i3,Discontinued,4,4.00 GHz,4.00 GHz,91.0,yes,8,2017
i3-8100,8,i3,Launched,4,3.60 GHz,3.60 GHz,65.0,yes,6,2017
i3-7020U,7,i3,Launched,2,2.30 GHz,2.30 GHz,15.0,yes,3,2018
i3-7130U,7,i3,Launched,2,2.70 GHz,2.70 GHz,15.0,yes,3,2017
i3-7320,7,i3,Discontinued,2,4.10 GHz,4.10 GHz,51.0,yes,4,2017
i3-7100T,7,i3,Discontinued,2,3.40 GHz,3.40 GHz,35.0,yes,3,2017
i3-7350K,7,i3,Discontinued,2,4.20 GHz,4.20 GHz,60.0,yes,4,2017
i3-7167U,7,i3,Launched,2,2.80 GHz,2.80 GHz,28.0,no,3,2017
i3-7300,7,i3,Discontinued,2,4.00 GHz,4.00 GHz,51.0,yes,4,2017
i3-7300T,7,i3,Discontinued,2,3.50 GHz,3.50 GHz,35.0,yes,4,2017
i3-7100,7,i3,Discontinued,2,3.90 GHz,3.90 GHz,51.0,yes,3,2017
i3-7100E,7,i3,Launched,2,2.90 GHz,2.90 GHz,35.0,no,3,2017
i3-7101E,7,i3,Launched,2,3.90 GHz,3.90 GHz,54.0,yes,3,2017
i3-7100H,7,i3,Launched,2,3.00 GHz,3.00 GHz,35.0,no,3,2017
i3-7101TE,7,i3,Launched,2,3.40 GHz,3.40 GHz,35.0,yes,3,2017
i3-7102E,7,i3,Launched,2,2.10 GHz,2.10 GHz,25.0,no,3,2017
i3-7100U,7,i3,Launched,2,2.40 GHz,2.40 GHz,15.0,yes,3,2016
i3-6006U,6,i3,Discontinued,2,2.00 GHz,2.00 GHz,15.0,yes,3,2016
i3-6157U,6,i3,Discontinued,2,2.40 GHz,2.40 GHz,28.0,yes,3,2016
i3-6098P,6,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,no,3,2015
i3-6102E,6,i3,Launched,2,1.90 GHz,1.90 GHz,25.0,yes,3,2015
i3-6100E,6,i3,Launched,2,2.70 GHz,2.70 GHz,35.0,yes,3,2015
i3-6100TE,6,i3,Launched,2,2.70 GHz,2.70 GHz,35.0,yes,4,2015
i3-6100U,6,i3,Launched,2,2.30 GHz,2.30 GHz,15.0,yes,3,2015
i3-6100H,6,i3,Discontinued,2,2.70 GHz,2.70 GHz,35.0,yes,3,2015
i3-6167U,6,i3,Discontinued,2,2.70 GHz,2.70 GHz,28.0,yes,3,2015
i3-6100T,6,i3,Discontinued,2,3.20 GHz,3.20 GHz,35.0,yes,3,2015
i3-6320,6,i3,Discontinued,2,3.90 GHz,3.90 GHz,51.0,yes,4,2015
i3-6300,6,i3,Discontinued,2,3.80 GHz,3.80 GHz,51.0,yes,4,2015
i3-6100,6,i3,Launched,2,3.70 GHz,3.70 GHz,51.0,yes,3,2015
i3-6300T,6,i3,Discontinued,2,3.30 GHz,3.30 GHz,35.0,yes,4,2015
i3-5020U,5,i3,Discontinued,2,2.20 GHz,2.20 GHz,15.0,no,3,2015
i3-5015U,5,i3,Discontinued,2,2.10 GHz,2.10 GHz,15.0,no,3,2015
i3-5157U,5,i3,Discontinued,2,2.50 GHz,2.50 GHz,28.0,no,3,2015
i3-5010U,5,i3,Launched,2,2.10 GHz,2.10 GHz,15.0,no,3,2015
i3-5005U,5,i3,Launched,2,2.00 GHz,2.00 GHz,15.0,no,3,2015
i3-4170T,4,i3,Discontinued,2,3.20 GHz,3.20 GHz,35.0,no,3,2015
i3-4370T,4,i3,Discontinued,2,3.30 GHz,3.30 GHz,35.0,no,4,2015
i3-4170,4,i3,Discontinued,2,3.70 GHz,3.70 GHz,54.0,no,3,2015
i3-4370,4,i3,Discontinued,2,3.80 GHz,3.80 GHz,54.0,yes,4,2014
i3-4360T,4,i3,Discontinued,2,3.20 GHz,3.20 GHz,35.0,yes,4,2014
i3-4160T,4,i3,Discontinued,2,3.10 GHz,3.10 GHz,35.0,yes,3,2014
i3-4160,4,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,yes,3,2014
i3-4360,4,i3,Launched,2,3.70 GHz,3.70 GHz,54.0,yes,4,2014
i3-4350T,4,i3,Launched,2,3.10 GHz,3.10 GHz,35.0,yes,4,2014
i3-4350,4,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,yes,4,2014
